CodigoDisciplina,NomeDisciplina,CodigoDepto,Obrigatoria
1411198,ADM.DE SIST.GERENC.DE BANCO DE DADOS,1,FALSE
1301014,ADMINISTRAÇÃO,3,FALSE
1109049,ÁLGEBRA LINEAR,2,FALSE
1109035,ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA,2,FALSE
1411187,ANÁLISE E TÉCNICA DE ALGORITMOS,1,FALSE
1411197,AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS,1,FALSE
1411193,BANCO DE DADOS I,1,FALSE
1411194,BANCO DE DADOS II,1,FALSE
1304122,BASQUETE   MASC/FEM,6,FALSE
1304025,BASQUETEBOL - FEM,6,FALSE
1304013,BASQUETEBOL - MASC,6,FALSE
1109103,CALCULO DIFERENCIAL E INTEGRAL I,2,FALSE
1109053,CALCULO DIFERENCIAL E INTEGRAL II,2,FALSE
1109105,CALCULO DIFERENCIAL E INTEGRAL III,2,FALSE
1411189,COMPILADORES,1,FALSE
1302123,COMPUTAÇÃO E MÚSICA,4,FALSE
1113002,DESENHO BASICO,9,FALSE
1305219,DIREITO E CIDADANIA,16,FALSE
1303021,ECONOMIA,5,FALSE
1411201,EMPREENDEDORISMO,1,FALSE
1411177,ENGENHARIA DE SOFTWARE I,1,FALSE
1411202,ENGENHARIA DE SOFTWARE II,1,FALSE
1109106,EQUACOES DIFERENCIAIS,2,FALSE
1109010,EQUACOES DIFERENCIAIS LINEARES,2,FALSE
1411203,ESTÁGIO INTEGRADO,1,FALSE
1411172,ESTRUTURA DE DADOS E ALGORITMOS,1,FALSE
1113019,EXPRESSAO GRAFICA,9,FALSE
1108030,FÍSICA GERAL I,14,FALSE
1108089,FUNDAMENTOS DE FÍSICA CLÁSSICA,14,FALSE
1108090,FUNDAMENTOS DE FÍSICA MODERNA,14,FALSE
1304059,FUTEBOL DE CAMPO,6,FALSE
1304055,FUTSAL,6,FALSE
1304123,FUTSAL - FEM,6,FALSE
1105365,GEOLOGIA DO PETRÓLEO,11,FALSE
1411176,GERÊNCIA DA INFORMAÇÃO,1,FALSE
1411204,GERENCIA DE REDES DE COMPUTADORES,1,FALSE
1301078,GESTAO DA QUALIDADE,3,FALSE
1304117,GINASTICA MASC/FEM,6,FALSE
1305220,INFORMÁTICA E SOCIEDADE,16,FALSE
1411207,INFORMÁTICA NA EDUCAÇÃO,1,FALSE
1307150,INGLÊS,15,FALSE
1502046,INT A ENGENHARIA AGRICOLA,7,FALSE
1411196,INTELIGENCIA ARTIFICIAL I,1,FALSE
1411208,INTELIGÊNCIA ARTIFICIAL II,1,FALSE
1411191,INTERCONEXÃO DE REDES DE COMPUTADORES,1,FALSE
1411209,INTERFACE HOMEM-MÁQUINA,1,FALSE
1503121,INTRODUCAO A ARQUITETURA,8,FALSE
1411174,INTRODUÇÃO A COMPUTAÇÃO,1,FALSE
1404132,INTRODUCAO A ENGENHARIA ELETRICA,10,FALSE
1305147,INTRODUÇÃO À FILOSOFIA,16,FALSE
1411179,LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,1,FALSE
1411184,LAB.DE INTERCON.DE REDES DE COMPUTADORES,1,FALSE
1411182,LAB.DE ORG.E ARQUITETURA DE COMPUTADORES,1,FALSE
1411183,LABORATÓRIO DE ENGENHARIA DE SOFTWARE,1,FALSE
1411180,LABORATÓRIO DE PROGRAMAÇÃO I,1,FALSE
1411181,LABORATÓRIO DE PROGRAMAÇÃO II,1,FALSE
1307151,LEITURA E PRODUCAO DE TEXTOS,15,FALSE
1307045,LINGUA PORTUGUESA,15,FALSE
1411173,LÓGICA MATEMÁTICA,1,FALSE
1411210,MARKETING PARA INFORMÁTICA,1,FALSE
1109113,MATEMÁTICA DISCRETA,2,FALSE
1305218,METODOLOGIA CIENTÍFICA,16,FALSE
1502183,METODOLOGIA E TÉCNICAS DE PESQUISA,7,FALSE
1411188,MÉTODOS E SOFTWARE NUMÉRICOS,1,FALSE
1114114,METODOS ESTATISTICOS,13,FALSE
1411212,ORGAN. E ARQUITETURA DE COMPUTADORES II,1,FALSE
1411175,ORG.E ARQUITETURA DE COMPUTADORES I,1,FALSE
1411169,PARADIGMAS DE LING. DE PROGRAMAÇÃO,1,FALSE
1114107,PROBABILIDADE E ESTATISTICA,13,FALSE
1301061,PROCESSO DECISORIO,3,FALSE
1411216,PROGRAMAÇÃO FUNCIONAL,1,FALSE
1411167,PROGRAMAÇÃO I,1,FALSE
1411168,PROGRAMAÇÃO II,1,FALSE
1411217,PROJETO DE REDES DE COMPUTADORES,1,FALSE
1411185,PROJETO EM COMPUTAÇÃO I,1,FALSE
1411186,PROJETO EM COMPUTAÇÃO II,1,FALSE
1107131,QUÍMICA,12,FALSE
1502178,QUÍMICA ANALÍTICA,7,FALSE
1107232,QUÍMICA GERAL,12,FALSE
1411190,REDES DE COMPUTADORES,1,FALSE
1411218,REDES DE PETRI,1,FALSE
1411226,REDES NEURAIS,1,FALSE
1305020,RELACOES HUMANAS,16,FALSE
1411238,SEMINÁRIOS (EDUCAÇÃO AMBIENTAL),1,FALSE
1411220,SISTEMAS BASEADOS EM CONHECIMENTO,1,FALSE
1411178,SISTEMAS DE INFORMAÇÃO I,1,FALSE
1411195,SISTEMAS DE INFORMAÇÃO II,1,FALSE
1411221,SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS,1,FALSE
1411222,SISTEMAS DISTRIBUIDOS,1,FALSE
1411224,SISTEMAS MULTIMÍDIA,1,FALSE
1411192,SISTEMAS OPERACIONAIS,1,FALSE
1305033,SOCIOLOGIA INDUSTRIAL I,16,FALSE
1107227,TE (ENGENHARIA DE POÇO),12,FALSE
1107252,TE (INT. À COM. E EL. F. P. DE PETRÓLEO),12,FALSE
1107225,TE (INTRODUÇÃO À ENGENHARIA DO PETRÓLEO),12,FALSE
1411252,TE (R. NEURAIS APL. À IND. DO PETRÓLEO),1,FALSE
1107233,TE (TECNOLOGIA DE GAS NATURAL),12,FALSE
1411289,TECC (ANÁLISE DE DADOS I),1,FALSE
1411262,TECC (ARQUITETURA DE SIST. EMBUTIDOS),1,FALSE
1411273,TECC (ARQUITETURA DE SOFTWARE),1,FALSE
1411288,TECC (DIDÁT. CIÊNCIA DA COMPUTAÇÃO II),1,FALSE
1411285,TECC (DIDÁTICA EM CIÊNCIA DA COMPUTAÇÃO),1,FALSE
1411259,TECC (GRADES COMPUTACIONAIS),1,FALSE
1411260,TECC (INTRODUÇÃO À COMPUTAÇÃO QUÂNTICA),1,FALSE
1411257,TECC (INTRODUÇÃO À MECÂNICA QUÂNTICA),1,FALSE
1411249,TECC (METODOS FORMAIS),1,FALSE
1411270,TECC (PROGRAMAÇÃO III),1,FALSE
1411261,TECC (REDAÇÃO TÉCNICO-CIENTÍFICA),1,FALSE
1411236,TECC (SISTEMAS DE APOIO A DECISÃO),1,FALSE
1411248,TECC (SISTEMAS DE APOIO A DECISÃO II),1,FALSE
1411282,TECC(ADMINISTRACAO DE SISTEMAS),1,FALSE
1411250,TECC(ALGORITMOS  AVANÇADOS III ),1,FALSE
1411251,TECC(ALGORITMOS  AVANÇADOS IV),1,FALSE
1411243,TECC(ALGORITMOS AVANÇADOS I ),1,FALSE
1411247,TECC(ALGORITMOS AVANÇADOS II),1,FALSE
1411258,TECC(ALGORITMOS AVANÇADOS V),1,FALSE
1411263,TECC(ALGORITMOS AVANÇADOS VI),1,FALSE
1411235,TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS),1,FALSE
1411264,TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS),1,FALSE
1411244,TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃ,1,FALSE
1411281,TECC(EMPREENDEDORISMO EM SOFTWARE),1,FALSE
1411279,TECC(ESTAGIO INTEGRADO II),1,FALSE
1411272,TECC(FLUXO DE TRABALHO INFORMATIZADO),1,FALSE
1411266,TECC(FUND E APLIC. DE REALIDADE VIRTUAL,1,FALSE
1411283,TECC(FUNDAMENTOS DE PROG CONCORRENTE),1,FALSE
1411271,TECC(INT.AO DES.DE SOFT.P/DISP.MOVEIS),1,FALSE
1411255,TECC(LAB DE SISTEMAS OPERACIONAIS),1,FALSE
1411287,TECC(M E E DE P DE T EM G M DE D HIST II,1,FALSE
1411274,TECC(MET CIENT P/ PESQ EM C. DA COMPUT),1,FALSE
1411286,TECC(METODOS E P T G M DADOS HISTORICOS),1,FALSE
1411269,TECC(MINERAÇÃO DE DADOS),1,FALSE
1411268,TECC(MODELAGEM DE AMBIENTES VIRTUAIS),1,FALSE
1411254,TECC(PROCESSAMENTO DIGITAL DE IMAGEM),1,FALSE
1411265,TECC(REDES AD HOC SEM FIO),1,FALSE
1411242,TECC(SEGURANCA EM REDES DE COMPUTADORES),1,FALSE
1411275,TECC(SISTEMAS COOPERATIVOS),1,FALSE
1411267,TECC(SISTEMAS DE RECUP DA INFORMAÇÃO),1,FALSE
1411276,TECC(VISAO COMPUTACIONAL),1,FALSE
1411256,TEC(PRINCIPIOS DE ADMIN FINANCEIRA),1,FALSE
1107197,TEEQ (ZEOLITAS),12,FALSE
1107224,TE(INTRODUÇÃO A ENG DE RESERVATORIOS),12,FALSE
1411171,TEORIA DA COMPUTAÇÃO,1,FALSE
1411170,TEORIA DOS GRAFOS,1,FALSE
1411253,TE(SIST INF GEOG APLIC SETOR PETR E GAS},1,FALSE
1304012,VOLEIBOL - MASC/FEM,6,FALSE
