coddisciplina,disciplina,PerMaisFreq1st,FreqRelativa1st,PerMaisFreq2nd,FreqRelativa2nd,PerMaisFreq3rd,FreqRelativa3rd,TotalDeAlunosPorDisciplina,TipoDeDisciplina
1108089,Fundamentos de Física Clássica,2,0.488038277511962,3,0.301435406698565,4,0.100478468899522,209,OBG
1108090,Fundamentos de Física Moderna,3,0.456521739130435,4,0.195652173913043,5,0.130434782608696,138,OBG
1109035,Álgebra Vetorial e Geometria Analítica,1,0.855345911949686,2,0.0911949685534591,3,0.0345911949685535,318,OBG
1109049,Álgebra Linear,3,0.384615384615385,2,0.21301775147929,4,0.195266272189349,169,OBG
1109053,Cálculo Diferencial e Integral II,2,0.485294117647059,3,0.279411764705882,4,0.102941176470588,204,OBG
1109103,Cálculo Diferencial e Integral I,1,0.794561933534743,2,0.157099697885196,3,0.027190332326284,331,OBG
1109113,Matemática Discreta,2,0.632352941176471,3,0.209558823529412,4,0.0808823529411765,272,OBG
1114107,Probabilidade e Estatística,3,0.408805031446541,4,0.213836477987421,1,0.163522012578616,159,OBG
1114114,Métodos Estatísticos,5,0.385826771653543,1,0.118110236220472,6,0.118110236220472,127,OBG
1301014,Administração,3,0.254237288135593,4,0.169491525423729,2,0.152542372881356,59,OPT
1303021,Economia,4,0.226190476190476,2,0.214285714285714,3,0.119047619047619,84,OPT
1304013,BASQUETEBOL - MASC,4,0.206896551724138,3,0.172413793103448,8,0.137931034482759,29,OPT
1304055,Futsal,4,0.266666666666667,9,0.2,2,0.166666666666667,30,OPT
1305020,Relações Humanas,3,0.2,1,0.155555555555556,2,0.133333333333333,45,OPT
1305033,Sociologia Industrial I,2,0.162162162162162,3,0.148648648648649,5,0.121621621621622,74,OPT
1305218,Metodologia Científica,6,0.382978723404255,7,0.361702127659574,2,0.0851063829787234,47,OBG
1305219,Direito e Cidadania,4,0.19047619047619,3,0.153439153439153,2,0.148148148148148,189,OBG
1305220,Informática e Sociedade,2,0.394366197183099,3,0.140845070422535,5,0.140845070422535,213,OBG
1307150,Inglês,4,0.197674418604651,2,0.186046511627907,1,0.104651162790698,86,OPT
1307151,Leitura e Produção de Textos,1,0.939655172413793,2,0.0301724137931034,4,0.0172413793103448,232,OBG
1411167,Programação I,1,0.860681114551084,2,0.126934984520124,3,0.0123839009287926,323,OBG
1411168,Programação II,2,0.748031496062992,3,0.137795275590551,4,0.0669291338582677,254,OBG
1411169,Paradigmas de Linguagem de Programação,4,0.360655737704918,5,0.319672131147541,6,0.0983606557377049,122,OBG
1411170,Teoria dos Grafos,2,0.701818181818182,3,0.203636363636364,4,0.0727272727272727,275,OBG
1411171,Teoria da Computação,3,0.433333333333333,4,0.327777777777778,1,0.116666666666667,180,OBG
1411172,Estruturas de Dados e Algoritmos,3,0.60093896713615,4,0.211267605633803,1,0.07981220657277,213,OBG
1411173,Lógica Matemática,4,0.41726618705036,5,0.309352517985612,2,0.079136690647482,139,OBG
1411174,Introdução à Computação,1,0.930921052631579,2,0.0625,3,0.00657894736842105,304,OBG
1411175,Organização e Arquitetura de Computadores,4,0.373134328358209,5,0.246268656716418,6,0.111940298507463,134,OBG
1411176,Gerência da Informação,3,0.636792452830189,4,0.141509433962264,2,0.122641509433962,212,OBG
1411177,Engenharia de Software I,5,0.379310344827586,6,0.189655172413793,4,0.181034482758621,116,OBG
1411178,Sistemas de Informação I,4,0.618705035971223,5,0.179856115107914,1,0.0863309352517986,139,OBG
1411179,Lab. de Estruturas de Dados e Algoritmos,3,0.625,4,0.21,1,0.06,200,OBG
1411180,Lab. de Programação I,1,0.858895705521472,2,0.131901840490798,3,0.00920245398773006,326,OBG
1411181,Lab. de Programação II,2,0.724409448818898,3,0.133858267716535,4,0.0905511811023622,254,OBG
1411182,Lab. de Organização e Arquitetura de Computadores,4,0.367647058823529,5,0.25,6,0.117647058823529,136,OBG
1411183,Lab. de Engenharia de Software,6,0.341880341880342,7,0.205128205128205,5,0.111111111111111,117,OBG
1411184,Lab. de Interconexão de Redes de Computadores,7,0.366666666666667,8,0.166666666666667,6,0.075,120,OBG
1411185,Projeto em Computação I,8,0.398305084745763,7,0.135593220338983,9,0.11864406779661,118,OBG
1411186,Projeto em Computação II,9,0.320388349514563,10,0.145631067961165,8,0.135922330097087,103,OBG
1411187,Análise e Técnicas de Algoritmos,5,0.267857142857143,6,0.241071428571429,7,0.116071428571429,112,OBG
1411188,Métodos e Software Numéricos,8,0.296875,9,0.2890625,10,0.078125,128,OBG
1411189,Compiladores,8,0.280701754385965,7,0.236842105263158,9,0.105263157894737,114,OBG
1411190,Redes de Computadores,6,0.344262295081967,5,0.139344262295082,7,0.122950819672131,122,OBG
1411191,Interconexão de Redes de Computadores,7,0.366666666666667,8,0.166666666666667,6,0.075,120,OBG
1411192,Sistemas Operacionais,7,0.294736842105263,6,0.221052631578947,8,0.147368421052632,95,OBG
1411193,Banco de Dados I,5,0.426573426573427,6,0.237762237762238,1,0.104895104895105,143,OBG
1411194,Banco de Dados II,7,0.3125,6,0.178571428571429,8,0.116071428571429,112,OBG
1411195,Sistemas de Informação II,6,0.318840579710145,5,0.289855072463768,1,0.123188405797101,138,OBG
1411196,Inteligência Artificial I,8,0.191489361702128,9,0.148936170212766,10,0.138297872340426,94,OBG
1411197,Avaliação de Desempenho de Sistemas Discretos,8,0.407407407407407,10,0.166666666666667,9,0.12962962962963,108,OBG
1411201,Empreendedorismo,6,0.166666666666667,8,0.166666666666667,10,0.166666666666667,18,OPT
1411203,Estágio Integrado,9,0.34375,8,0.25,7,0.15625,32,OPT
1411204,GERENCIA DE Redes de Computadores,8,0.25,9,0.25,10,0.1875,16,OPT
1411221,Sistemas de Informações Geográficas,7,0.354166666666667,6,0.1875,8,0.104166666666667,48,OPT
1411226,Redes Neurais,10,0.238095238095238,9,0.19047619047619,11,0.19047619047619,21,OPT
1411238,Seminários (Educação Ambiental),5,0.197530864197531,4,0.135802469135802,6,0.135802469135802,81,OPT
1411244,TECC (Economia de Tecnologia da Informação),9,0.289473684210526,8,0.157894736842105,7,0.0789473684210526,76,OPT
1411247,TECC (Algoritmos Avançados II),2,0.461538461538462,4,0.384615384615385,1,0.0769230769230769,13,OPT
1411249,TECC (Métodos Formais),4,0.272727272727273,1,0.181818181818182,2,0.181818181818182,11,OPT
1411250,TECC (Algoritmos Avançados III),5,0.571428571428571,1,0.214285714285714,3,0.0714285714285714,14,OPT
1411256,TEC (Princípios de Administração Financeira),9,0.205128205128205,10,0.153846153846154,1,0.102564102564103,39,OPT
1411266,TECC (Fundamentos e Aplicações de Realidade Virtual),8,0.233333333333333,9,0.2,5,0.1,30,OPT
1411268,TECC (Modelagem de Ambientes Virtuais),7,0.25,8,0.15625,10,0.125,32,OPT
1411281,TECC(Empreendedorismo em Software)   ,7,0.368421052631579,6,0.157894736842105,2,0.0947368421052632,95,OPT
1411283,TECC(Fundamentos de Prog. Concorrente),8,0.317073170731707,6,0.146341463414634,9,0.0975609756097561,41,OPT
1411285,TECC(DIDATICA EM CIENCIA DA COMPUTACAO),4,0.208333333333333,5,0.166666666666667,2,0.145833333333333,48,OPT
1411288,TECC(DIDATICA EM CIENCIA DA COMPUTACAO II),8,0.230769230769231,3,0.153846153846154,5,0.153846153846154,13,OPT
1411242,TECC (Segurança em Redes de Computadores),8,0.3,10,0.3,9,0.15,20,OPT
1411243,TECC (Algoritmos Avançados I),4,0.444444444444444,2,0.333333333333333,3,0.111111111111111,9,OPT
1411279,TECC (Estágio Integrado II),2,0.25,4,0.25,5,0.25,4,OPT
1411282,TECC (Administração de Sistemas),7,0.263157894736842,3,0.157894736842105,4,0.105263157894737,19,OPT
1411287,TECC(METODOS E P T G M DADOS HISTORICOS),7,0.363636363636364,6,0.136363636363636,2,0.0909090909090909,22,OPT
1107232,Química Geral,3,1,1,0,2,0,1,OPT
1113019,EXPRESSAO GRAFICA,3,1,1,0,2,0,1,OPT
1304025,BASQUETEBOL - FEM,3,0.4,4,0.4,5,0.2,5,OPT
1304122,BASQUETE   MASC/FEM,3,1,1,0,2,0,2,OPT
1411267,TECC (Sistemas de Recuperação da Informação),7,0.52,8,0.12,9,0.12,25,OPT
1109105,Cálculo Diferencial e Integral III,5,0.5,6,0.5,1,0,2,OPT
1109106,EQUACOES DIFERENCIAIS,5,1,1,0,2,0,1,OPT
1411276,TECC (Visão Computacional),8,0.5,9,0.125,6,0.0833333333333333,24,OPT
1411265,TECC (Redes Ad Hoc Sem Fio),6,0.333333333333333,7,0.333333333333333,9,0.333333333333333,3,OPT
1411217,Projeto de Redes de Computadores,9,0.4,10,0.4,11,0.2,5,OPT
